"Time","Supply of electricity (GWh)"
"Jan 2008",14755
"Feb 2008",13339
"Mar 2008",13269
"Apr 2008",12478
"May 2008",11846
"Jun 2008",11853
"Jul 2008",12099
"Aug 2008",12041
"Sep 2008",12458
"Oct 2008",13526
"Nov 2008",13144
"Dec 2008",13851
"Jan 2009",14439
"Feb 2009",12749
"Mar 2009",13566
"Apr 2009",11621
"May 2009",11220
"Jun 2009",11068
"Jul 2009",11650
"Aug 2009",11601
"Sep 2009",11977
"Oct 2009",13593
"Nov 2009",13356
"Dec 2009",14399
"Jan 2010",14900
"Feb 2010",13271
"Mar 2010",13802
"Apr 2010",11969
"May 2010",12095
"Jun 2010",11811
"Jul 2010",12268
"Aug 2010",12052
"Sep 2010",12567
"Oct 2010",13869
"Nov 2010",13587
"Dec 2010",15156
"Jan 2011",14848
"Feb 2011",14095
"Mar 2011",14987
"Apr 2011",12785
"May 2011",13005
"Jun 2011",12358
"Jul 2011",12489
"Aug 2011",12845
"Sep 2011",12961
"Oct 2011",14085
"Nov 2011",14267
"Dec 2011",14608
"Jan 2012",14953
"Feb 2012",14994
"Mar 2012",13928
"Apr 2012",12877
"May 2012",12392
"Jun 2012",12423
"Jul 2012",12414
"Aug 2012",12562
"Sep 2012",12492
"Oct 2012",13774
"Nov 2012",13962
"Dec 2012",14643
"Jan 2013",15354
"Feb 2013",13822
"Mar 2013",14798
"Apr 2013",13415
"May 2013",12645
"Jun 2013",12291
"Jul 2013",12966
"Aug 2013",12831
"Sep 2013",13292
"Oct 2013",14396
"Nov 2013",14279
"Dec 2013",14525
"Jan 2014",14842
"Feb 2014",12983
"Mar 2014",13541
"Apr 2014",12515
"May 2014",12434
"Jun 2014",11926
"Jul 2014",13118
"Aug 2014",12418
