"rok","miesi¹c","liczba goœci"
2009,1,122782
,2,123211
,3,117063
,4,126297
,5,191490
,6,180845
,7,178647
,8,189431
,9,180019
,10,155920
,11,117709
,12,119007
2010,1,126044
,2,126431
,3,125623
,4,138075
,5,198919
,6,193910
,7,186441
,8,191993
,9,185764
,10,172099
,11,128231
,12,122010
2011,1,129671
,2,137087
,3,135334
,4,143151
,5,199709
,6,203757
,7,196426
,8,208515
,9,206678
,10,184015
,11,146754
,12,135629
2012,1,158656
,2,153623
,3,150927
,4,165660
,5,224291
,6,193841
,7,218645
,8,235303
,9,214834
,10,183271
,11,143252
,12,143945
2013,1,153292
,2,150429
,3,147334
,4,161856
,5,220795
,6,212031
,7,220472
,8,230004
,9,207495
,10,194519
,11,147421
,12,149636
2014,1,142029
,2,159959
,3,156465
