"data"," Œredni kurs1 EUR"
20140102,4.1631
20140103,4.1645
20140107,4.1798
20140108,4.1789
20140109,4.1776
20140110,4.1745
20140113,4.1600
20140114,4.1565
20140115,4.1522
20140116,4.1647
20140117,4.1601
20140120,4.1586
20140121,4.1647
20140122,4.1669
20140123,4.1679
20140124,4.2014
20140127,4.2291
20140128,4.1827
20140129,4.2155
20140130,4.2365
20140131,4.2368
20140203,4.2375
20140204,4.2140
20140205,4.1887
20140206,4.1860
20140207,4.1865
20140210,4.1822
20140211,4.1798
20140212,4.1686
20140213,4.1752
20140214,4.1530
20140217,4.1450
20140218,4.1584
20140219,4.1638
20140220,4.1780
20140221,4.1681
20140224,4.1638
20140225,4.1595
20140226,4.1584
20140227,4.1851
20140228,4.1602
20140303,4.1978
20140304,4.1926
20140305,4.1860
20140306,4.1788
20140307,4.1893
20140310,4.1991
20140311,4.2171
20140312,4.2290
20140313,4.2277
20140314,4.2334
20140317,4.2295
20140318,4.2295
20140319,4.2065
20140320,4.2089
20140321,4.1970
20140324,4.1990
20140325,4.1910
20140326,4.1835
20140327,4.1826
20140328,4.1677
20140331,4.1713
20140401,4.1765
20140402,4.1774
20140403,4.1738
20140404,4.1657
20140407,4.1748
20140408,4.1684
20140409,4.1675
20140410,4.1710
20140411,4.1784
20140414,4.1855
20140415,4.1840
20140416,4.1925
20140417,4.1968
20140418,4.1820
20140422,4.1890
20140423,4.1914
20140424,4.1893
20140425,4.2030
20140428,4.2112
20140429,4.2053
20140430,4.1994
20140502,4.1990
20140505,4.2056
20140506,4.2051
20140507,4.2003
20140508,4.1865
20140509,4.1787
20140512,4.1797
20140513,4.1815
20140514,4.1828
20140515,4.1824
20140516,4.1935
20140519,4.1884
20140520,4.1905
20140521,4.1885
20140522,4.1755
20140523,4.1524
20140526,4.1560
20140527,4.1655
20140528,4.1678
20140529,4.1385
20140530,4.1420
20140602,4.1355
20140603,4.1392
20140604,4.1527
20140605,4.1215
20140606,4.1211
20140609,4.0998
20140610,4.1090
20140611,4.1157
20140612,4.1096
20140613,4.1231
20140616,4.1460
20140617,4.1398
20140618,4.1463
20140620,4.1506
20140623,4.1603
20140624,4.1587
20140625,4.1437
20140626,4.1358
20140627,4.1528
20140630,4.1609
20140701,4.1550
20140702,4.1500
20140703,4.1536
20140704,4.1435
20140707,4.1472
20140708,4.1401
20140709,4.1272
20140710,4.1341
20140711,4.1419
20140714,4.1390
20140715,4.1433
20140716,4.1310
20140717,4.1378
20140718,4.1479
20140721,4.1521
20140722,4.1464
20140723,4.1355
20140724,4.1398
20140725,4.1459
20140728,4.1470
20140729,4.1524
20140730,4.1517
20140731,4.1640
20140801,4.1887
20140804,4.1783
20140805,4.1679
20140806,4.1940
20140807,4.1990
20140808,4.2184
20140811,4.1998
20140812,4.2025
20140813,4.1980
20140814,4.1800
20140818,4.1951
20140819,4.1871
20140820,4.1838
20140821,4.1893
20140822,4.1874
20140825,4.1814
20140826,4.1800
20140827,4.1880
20140828,4.2043
20140829,4.2129
20140901,4.2099
20140902,4.2120
20140903,4.1937
20140904,4.2000
20140905,4.1908
20140908,4.1824
20140909,4.1978
20140910,4.2070
20140911,4.1935
20140912,4.1957
20140915,4.2028
20140916,4.1970
20140917,4.1899
20140918,4.1880
20140919,4.1860
20140922,4.1845
20140923,4.1775
20140924,4.1785
20140925,4.1757
20140926,4.1781
20140929,4.1843
20140930,4.1755
20141001,4.1792
20141002,4.1780
20141003,4.1789
20141006,4.1829
20141007,4.1825
20141008,4.1856
20141009,4.1826
20141010,4.1795
20141013,4.1901
20141014,4.1993
20141015,4.2089
20141016,4.2223
20141017,4.2293
20141020,4.2232
20141021,4.2263
20141022,4.2228
20141023,4.2280
20141024,4.2245
20141027,4.2229
20141028,4.2268
20141029,4.2248
20141030,4.2280
20141031,4.2043
20141103,4.2209
20141104,4.2253
20141105,4.2310
20141106,4.2250
20141107,4.2243
