"Rok","Kwarta³","Produkt krajowy brutto (ceny bie¿¹ce) w mln z³"
1995,"I kw.",76012.1
,"II kw.",81778.2
,"III kw.",86713.7
,"IV kw.",92717.9
1996,"I kw.",93207.8
,"II kw.",101404.5
,"III kw.",107274
,"IV kw.",120549.5
1997,"I kw.",113958.3
,"II kw.",124055.8
,"III kw.",129974.6
,"IV kw.",147364.5
1998,"I kw.",134931.9
,"II kw.",144618.7
,"III kw.",151670.5
,"IV kw.",169680.8
1999,"I kw.",146070
,"II kw.",158884.8
,"III kw.",167797.9
,"IV kw.",192935.7
2000,"I kw.",166983
,"II kw.",180336.1
,"III kw.",187089.3
,"IV kw.",209969.6
2001,"I kw.",179169.1
,"II kw.",191140.7
,"III kw.",194062.7
,"IV kw.",215191.3
2002,"I kw.",187640.4
,"II kw.",198114.3
,"III kw.",200319.3
,"IV kw.",222504.4
2003,"I kw.",193842.5
,"II kw.",207307.1
,"III kw.",208268.4
,"IV kw.",233738.2
2004,"I kw.",213035.6
,"II kw.",224806.1
,"III kw.",228044.8
,"IV kw.",258651.1
2005,"I kw.",229395.8
,"II kw.",238094.5
,"III kw.",241759.8
,"IV kw.",274052.2
2006,"I kw.",242784.9
,"II kw.",255497.1
,"III kw.",261510.9
,"IV kw.",300238.5
2007,"I kw.",270132.1
,"II kw.",282921.9
,"III kw.",291058.5
,"IV kw.",332624.2
2008,"I kw.",299147.7
,"II kw.",310884.3
,"III kw.",314741.7
,"IV kw.",350734.6
2009,"I kw.",313058.1
,"II kw.",325485.6
,"III kw.",332478.9
,"IV kw.",373482.5
2010,"I kw.",323206.6
,"II kw.",344700
,"III kw.",350607.2
,"IV kw.",398071.5
2011,"I kw.",348858.9
,"II kw.",369749.9
,"III kw.",377079.8
,"IV kw.",432438.6
2012,"I kw.",370787.2
,"II kw.",389378.1
,"III kw.",394410.8
,"IV kw.",441802.4
2013,"I kw.",378350.2
,"II kw.",396313.8
,"III kw.",405554
,"IV kw.",455527.8
2014,"I kw.",397428.7
,"II kw.",413456.9
